square_id,model,model_type,layer_units,learning_rate,batch_size,MAE,RMSE,MAPE,training_time_seconds,epochs,epochs_completed,best_epoch
5059,"<Sequential name=sequential_2, built=True>",RNN,"[64, 64]",0.0001,64,97.06591796875,138.31827541037373,8.890212,168.0980233850005,50,22,17
5059,"<Sequential name=sequential_3, built=True>",GRU,[64],0.001,64,91.78367614746094,130.60536634744378,8.269577026367188,127.63287210700037,50,9,4
5059,"<Sequential name=sequential_4, built=True>",LSTM,[64],0.001,64,96.43897247314452,135.60803465318713,8.85206127166748,94.91002173800008,50,10,5
5259,"<Sequential name=sequential_5, built=True>",RNN,"[64, 64]",0.0001,64,73.00791931152344,106.35444315177904,6.75424337387085,404.6774710090003,50,50,50
5259,"<Sequential name=sequential_6, built=True>",GRU,[64],0.001,64,82.13422393798828,118.85451814876454,7.300690650939941,301.97831255599976,50,22,17
5259,"<Sequential name=sequential_7, built=True>",LSTM,[64],0.001,64,76.71488952636719,110.20855141361535,7.210781574249268,224.9227780849997,50,27,22
5161,"<Sequential name=sequential_8, built=True>",RNN,"[64, 64]",0.0001,64,103.5367202758789,153.06654496492695,9.184260368347168,383.88710638799967,50,45,40
5161,"<Sequential name=sequential_9, built=True>",GRU,[64],0.0001,64,113.77581787109376,167.48714386296936,9.721403121948242,615.2414262969996,50,50,50
5161,"<Sequential name=sequential_11, built=True>",GRU,[64],0.001,64,105.24378967285156,156.70352306385774,8.764619827270508,211.82816193300096,50,17,12
5161,"<Sequential name=sequential_12, built=True>",LSTM,[128],0.001,64,101.39887237548828,148.91571651440958,9.022493362426758,929.8773715120004,50,39,34
5161,"<Sequential name=sequential_13, built=True>",LSTM,[64],0.001,64,102.70455932617188,151.94277680059358,9.60654067993164,355.0464038509999,50,41,36
